Name,State,Value,Number_of_Observations_POR,Percentile_POR
West Yellowstone,MT,5.8,58,17.24137931034483
Agua Canyon,UT,1.3,30,6.666666666666667
Burro Mountain,CO,4.6,44,2.272727272727273
Saddle Mtn.,MT,13.9,57,26.31578947368421
Chamita,NM,3.2,45,11.11111111111111
Sacajawea,MT,4.6,25,8.0
Porcupine,MT,0.8,48,0.0
Santa Fe,NM,5.7,28,21.428571428571427
Dry Bread Pond,UT,5.9,46,2.1739130434782608
Mcneil Canyon,AK,2.3,35,5.714285714285714
Gardner Peak,UT,1.8,20,0.0
Lightning Ridge,UT,6.4,20,0.0
Pine Creek Pass,ID,4.7,35,0.0
Hickerson Park,UT,2.8,39,10.256410256410255
Scotch Creek,CO,4.4,38,7.894736842105263
Seine Creek,OR,0.2,42,66.66666666666666
Laprele Creek,WY,3.1,42,4.761904761904762
Barker Lakes,MT,5.8,45,4.444444444444445
Skalkaho Summit,MT,12.9,48,31.25
Leavitt Meadows,CA,7.7,44,59.09090909090909
Red Pine Ridge,UT,3.1,45,0.0
Jackson Peak,ID,11.2,42,11.904761904761903
Kenai Moose Pens,AK,4.2,36,63.888888888888886
Beartown,CO,5.9,42,4.761904761904762
Granite Peak,NV,3.2,44,0.0
Togwotee Pass,WY,15.8,44,56.81818181818182
Ben Lomond Peak,UT,11.1,46,6.521739130434782
Payson R.S.,UT,0.9,44,0.0
Idarado,CO,4.5,44,2.272727272727273
Schweitzer Basin,ID,20.9,43,4.651162790697675
North Fork Jocko,MT,26.0,35,48.57142857142857
Wood Creek,MT,3.8,46,13.043478260869565
Sleeping Woman,MT,7.1,33,9.090909090909092
Moscow Mountain,ID,4.2,24,0.0
East Rim Divide,WY,5.6,39,20.51282051282051
Daly Creek,MT,5.2,44,11.363636363636363
Clackamas Lake,OR,2.7,44,13.636363636363635
Steel Creek Park,UT,7.4,46,17.391304347826086
Soldier R.S.,ID,0.9,38,0.0
Lubrecht Flume,MT,3.0,54,14.814814814814813
Waldron,MT,4.8,56,14.285714285714285
Five Points Lake,UT,8.1,44,27.27272727272727
Base Camp,WY,10.8,44,36.36363636363637
Bisson Creek,MT,2.8,33,0.0
Hoodoo Basin,MT,26.1,58,41.37931034482759
Dills Camp,UT,3.4,45,4.444444444444445
Noisy Basin,MT,20.8,50,14.000000000000002
Lookout Mountain,NM,0.1,44,15.909090909090908
Lemhi Ridge,MT,4.8,49,4.081632653061225
Cooper Lake,AK,6.3,43,11.627906976744185
Jones Pass,CO,5.5,25,0.0
Brooklyn Lake,WY,10.2,43,16.27906976744186
Beagle Springs,MT,5.4,46,45.65217391304348
Truckee #2,CA,7.8,44,34.090909090909086
Mt Hood Test Site,OR,9.7,44,0.0
Hole-in-Mountain,NV,2.8,38,0.0
Echo Lake,CO,0.7,26,0.0
Lower Twin,MT,8.0,44,11.363636363636363
Salt Creek Falls,OR,0.9,44,2.272727272727273
Deadman Creek,MT,6.1,57,29.82456140350877
Indian Pass,AK,9.6,45,11.11111111111111
Moraine,AK,4.8,22,45.45454545454545
Copeland Lake,CO,0.5,43,0.0
Rubicon #2,CA,8.1,44,22.727272727272727
Mount Gardner,WA,0.0,31,3.225806451612903
Bug Lake,UT,8.6,46,15.217391304347828
Zirkel,CO,13.2,22,9.090909090909092
Mill Creek Summit,ID,13.7,39,66.66666666666666
Billie Creek Divide,OR,3.4,46,2.1739130434782608
Turnagain Pass,AK,17.3,41,19.51219512195122
Snider Basin,WY,5.4,43,4.651162790697675
South Brush Creek,WY,4.9,44,9.090909090909092
Lake Creek R.S.,OR,3.0,46,2.1739130434782608
Santiam Jct.,OR,0.2,46,4.3478260869565215
Lobdell Lake,CA,7.0,46,32.608695652173914
Hardscrabble,UT,2.4,31,0.0
Banner Summit,ID,12.7,44,20.454545454545457
Temple Fork,UT,6.8,22,4.545454545454546
Dismal Swamp,CA,7.1,44,2.272727272727273
Maverick Fork,AZ,1.3,44,6.8181818181818175
Shell Creek,WY,9.2,45,46.666666666666664
Ute Creek,CO,2.2,24,4.166666666666666
Wolf Creek,OR,2.9,46,0.0
Short Creek,MT,1.7,36,0.0
Lookout,ID,7.2,41,2.4390243902439024
Spur Park,MT,13.0,58,34.48275862068966
Willow Creek,WY,15.3,43,23.25581395348837
Bourne,OR,2.8,46,0.0
Triple Peak,WY,15.8,39,64.1025641025641
Ben Lomond Trail,UT,2.7,44,0.0
Shanghi Summit,ID,5.5,40,2.5
El Diente Peak,CO,4.0,38,2.631578947368421
Taylor Green,OR,5.4,45,0.0
Big Meadow,NV,9.5,41,34.146341463414636
Cottonwood Creek,WY,12.7,40,37.5
Alpine Meadows,WA,15.0,30,13.333333333333334
Stahl Peak,MT,25.4,49,67.3469387755102
Owl Creek,WY,1.2,44,0.0
Crazyman Flat,OR,0.2,23,0.0
Snake River Station,WY,7.9,35,5.714285714285714
Port Graham,AK,1.9,23,26.08695652173913
Deadman Hill,CO,7.2,46,13.043478260869565
Bear Creek,NV,5.4,45,2.2222222222222223
Pope Ridge,WA,7.4,43,4.651162790697675
Younts Peak,WY,11.3,41,65.85365853658537
Canyon,WY,8.0,44,43.18181818181818
Box Canyon,MT,4.3,46,4.3478260869565215
Derr.,OR,2.7,44,0.0
Hannagan Meadows,AZ,2.1,44,6.8181818181818175
Mt Rose Ski Area,NV,19.4,44,38.63636363636363
Lamance Creek,NV,0.3,43,4.651162790697675
Stampede Pass,WA,8.1,42,4.761904761904762
Big Bend,NV,0.7,46,0.0
Upper Chena,AK,6.4,23,86.95652173913044
Farnsworth Lake,UT,5.4,44,0.0
Pike Creek,MT,3.6,48,12.5
North Fork,OR,3.3,46,15.217391304347828
Hayden Fork,UT,6.1,46,4.3478260869565215
Webster Flat,UT,3.7,44,0.0
Horse Ridge,UT,6.8,46,0.0
Lizard Head Pass,CO,5.0,44,4.545454545454546
Mineral Creek,CO,3.6,45,2.2222222222222223
Crosho,CO,4.3,38,0.0
Copper Mountain,CO,4.8,46,6.521739130434782
Elk River,CO,6.8,46,4.3478260869565215
Thunder Basin,WA,19.0,36,33.33333333333333
Kraft Creek,MT,3.8,44,2.272727272727273
Lost-Wood Divide,ID,14.4,42,71.42857142857143
Lost Horse,WA,4.5,34,8.823529411764707
Molas Lake,CO,4.8,38,5.263157894736842
West Branch,ID,8.8,43,4.651162790697675
Toketee Airstrip,OR,0.1,21,23.809523809523807
Gold Center,OR,1.7,44,0.0
Elbow Lake,WA,3.9,29,6.896551724137931
Nast Lake,CO,3.5,39,12.82051282051282
Daly Lake,OR,0.1,44,9.090909090909092
Rice Park,NM,1.8,26,19.230769230769234
Skookum Creek,WA,10.1,29,24.137931034482758
Sedgwick Peak,ID,7.1,36,5.555555555555555
Quemazon,NM,0.4,44,2.272727272727273
Nevada Ridge,MT,9.8,30,53.333333333333336
Silver Creek,OR,1.5,44,4.545454545454546
Starr Ridge,OR,0.0,44,0.0
Moss Peak,MT,24.2,39,58.97435897435898
Cedar Pass,CA,1.9,46,0.0
Harris Flat,UT,0.1,44,4.545454545454546
Tie Creek,WY,0.4,30,3.3333333333333335
Emery Creek,MT,5.1,48,2.083333333333333
Chocolate Gulch,ID,7.0,31,35.483870967741936
Draw Creek,NV,2.7,41,4.878048780487805
Fry,AZ,1.6,44,15.909090909090908
Cozy Cove,ID,3.4,44,0.0
Grassy Lake,WY,12.4,44,0.0
Beaver Divide,UT,4.4,46,6.521739130434782
Grandview,AK,10.4,33,15.151515151515152
Apishapa,CO,0.0,44,2.272727272727273
Camp Jackson,UT,2.6,39,2.564102564102564
Schofield Pass,CO,10.6,39,0.0
Park Reservoir,CO,6.9,46,2.1739130434782608
Emigrant Summit,ID,9.4,41,4.878048780487805
Galena Summit,ID,13.5,41,58.536585365853654
Oxford Spring,ID,3.1,43,6.976744186046512
Fawn Creek,NV,0.0,44,0.0
Clear Creek #2,UT,1.6,46,0.0
University Camp,CO,5.4,45,2.2222222222222223
Blewett Pass,WA,3.4,43,2.3255813953488373
Seventysix Creek,NV,2.7,46,8.695652173913043
Bostetter R.S.,ID,5.0,44,2.272727272727273
Mount Lockhart,MT,13.4,56,51.78571428571429
Little Chena Ridge,AK,2.8,42,28.57142857142857
Touchet,WA,7.3,42,4.761904761904762
Trough,WA,3.3,46,10.869565217391305
Meadow Lake,ID,11.5,40,77.5
