Name,State,Value,Number_of_Observations_POR,Percentile_POR
Mancos,CO,7.700000000000001,30,16.666666666666664
Marion Forks,OR,45.5,44,34.090909090909086
Porcupine,MT,10.8,46,89.13043478260869
Workman Creek,AZ,15.100000000000001,44,40.909090909090914
Sedgwick Peak,ID,17.8,36,61.111111111111114
Moraine,AK,1.9000000000000004,22,31.818181818181817
Gunsight Pass,WY,14.3,26,92.3076923076923
Potato Hill,WA,44.3,43,58.139534883720934
Stickney Mill,ID,13.0,43,95.34883720930233
Dupuyer Creek,MT,14.5,41,97.5609756097561
Waldron,MT,19.400000000000002,46,97.82608695652173
Wolf Creek,OR,12.700000000000001,46,21.73913043478261
West Branch,ID,25.9,43,62.7906976744186
Olallie Meadows,WA,88.80000000000001,43,72.09302325581395
Vienna Mine,ID,30.0,43,81.3953488372093
Nez Perce Camp,MT,23.0,44,95.45454545454545
Ward Creek #3,CA,47.1,45,51.11111111111111
Wildcat,AZ,9.7,39,51.28205128205128
Kolob,UT,19.5,45,66.66666666666666
Gooseberry RS,UT,6.2,45,2.2222222222222223
Two Ocean Plateau,WY,27.900000000000002,43,83.72093023255815
Billie Creek Divide,OR,26.5,46,26.08695652173913
Cedar Pass,CA,15.2,46,36.95652173913043
Kraft Creek,MT,31.6,44,97.72727272727273
Beartown,CO,14.700000000000001,42,30.952380952380953
Shanghi Summit,ID,37.099999999999994,41,78.04878048780488
Gallegos Peak,NM,3.5,44,0.0
Upper Wheeler,WA,21.2,43,90.69767441860465
Middle Powder,WY,7.9,46,71.73913043478261
Placer Basin,MT,17.7,44,90.9090909090909
Lost Dog,CO,14.600000000000001,26,15.384615384615385
Howell Canyon,ID,22.599999999999998,44,50.0
Rex River,WA,89.2,29,100.0
Saddle Mtn.,MT,20.0,46,71.73913043478261
Prairie,ID,11.799999999999999,43,51.162790697674424
Fallen Leaf,CA,26.599999999999998,45,66.66666666666666
Laurel Draw,NV,11.6,45,28.888888888888886
Joe Wright,CO,15.9,46,19.565217391304348
Daly Lake,OR,26.3,44,4.545454545454546
Wesner Springs,NM,2.0999999999999996,35,5.714285714285714
Jacks Peak,NV,13.9,43,18.6046511627907
Bear Creek,NV,12.0,46,4.3478260869565215
Long Valley Jct,UT,11.1,38,71.05263157894737
Somsen Ranch,ID,14.600000000000001,44,72.72727272727273
Taylor Canyon,NV,6.9,44,59.09090909090909
Clear Creek #1,UT,9.600000000000001,46,15.217391304347828
Bunchgrass Mdw,WA,26.9,41,51.21951219512195
Silver Creek,OR,14.2,44,36.36363636363637
Mica Creek,ID,33.1,34,61.76470588235294
Cottonwood Creek,WY,22.2,40,72.5
Dry Lake,CO,13.5,44,13.636363636363635
Monahan Flat,AK,6.5,31,67.74193548387096
Bumping Ridge,WA,60.49999999999999,43,93.02325581395348
Timber Creek,WY,2.2,37,24.324324324324326
Pope Ridge,WA,33.4,42,88.09523809523809
Cochetopa Pass,CO,4.4,20,35.0
Ben Lomond Peak,UT,26.2,46,34.78260869565217
Blind Park,SD,10.200000000000001,34,82.35294117647058
Skookum Creek,WA,99.3,29,79.3103448275862
Nast Lake,CO,5.800000000000001,39,12.82051282051282
Wolverine,WY,14.6,44,90.9090909090909
Echo Peak,CA,39.0,44,54.54545454545454
Vallecito,CO,13.100000000000001,38,52.63157894736842
Summit Lake,OR,31.3,43,18.6046511627907
Frisco Divide,NM,4.6,44,27.27272727272727
Harris Flat,UT,12.9,45,77.77777777777779
Phantom Valley,CO,8.700000000000001,44,13.636363636363635
Parleys Summit,UT,13.0,46,23.91304347826087
Lily Pond,CO,9.8,44,15.909090909090908
Mule Creek,MT,13.799999999999999,44,75.0
Seeley Creek,UT,6.299999999999999,44,9.090909090909092
Copper Camp,MT,40.800000000000004,46,100.0
Quartz Peak,WA,29.2,38,55.26315789473685
Turnagain Pass,AK,22.299999999999997,42,23.809523809523807
Mormon Mountain,AZ,13.700000000000001,44,50.0
Mill Creek Summit,ID,18.8,42,88.09523809523809
Franklin Basin,ID,27.0,45,75.55555555555556
Little Bear,UT,18.099999999999998,46,58.69565217391305
Rocky Boy,MT,11.100000000000001,28,82.14285714285714
Poison Flat,CA,21.5,44,56.81818181818182
Little Grassy,UT,11.8,39,61.53846153846154
Lubrecht Flume,MT,14.600000000000001,46,100.0
Emery Creek,MT,23.599999999999998,44,84.0909090909091
Gerber Reservoir,OR,9.6,26,65.38461538461539
Holland Meadows,OR,34.099999999999994,44,20.454545454545457
Buck Flat,UT,9.3,46,8.695652173913043
Rock Creek,UT,9.4,44,65.9090909090909
Lemhi Ridge,MT,8.2,45,35.55555555555556
Mccoy Park,CO,10.5,21,33.33333333333333
Mosquito Ridge,ID,39.3,43,67.44186046511628
Many Glacier,MT,32.3,46,93.47826086956522
Horse Ridge,UT,18.5,46,47.82608695652174
North Fork Jocko,MT,44.8,35,82.85714285714286
Big Red Mountain,OR,28.4,44,29.545454545454547
Owl Creek,WY,4.3,44,68.18181818181817
Park Reservoir,CO,15.5,46,26.08695652173913
Evening Star,WY,31.500000000000004,44,93.18181818181817
Park Creek Ridge,WA,54.599999999999994,46,80.43478260869566
Brundage Reservoir,ID,32.3,38,68.42105263157895
Adin Mtn,CA,15.399999999999999,40,52.5
Seine Creek,OR,57.2,44,70.45454545454545
Myrtle Creek,ID,21.400000000000002,21,95.23809523809523
Pine Creek,UT,9.6,39,7.6923076923076925
Heavenly Valley,CA,23.2,46,58.69565217391305
Little Chena Ridge,AK,3.6999999999999993,37,51.35135135135135
Bear Mountain,ID,63.2,43,67.44186046511628
Burnside Lake,CA,28.5,21,47.61904761904761
Crab Creek,ID,12.8,43,65.11627906976744
Lower Twin,MT,15.6,44,70.45454545454545
Munson Ridge,AK,6.4,41,68.29268292682927
Green Mountain,NV,11.6,44,11.363636363636363
Stuart Mountain,MT,29.7,30,83.33333333333334
White Elephant,ID,21.1,43,51.162790697674424
Berthoud Summit,CO,13.799999999999999,46,13.043478260869565
Taylor Green,OR,17.0,45,22.22222222222222
Sheep Canyon,WA,104.2,42,85.71428571428571
Bisson Creek,MT,20.0,32,93.75
Spur Park,MT,16.8,46,93.47826086956522
Deadwood Summit,ID,36.0,44,61.36363636363637
Quartz Mountain,OR,9.7,44,45.45454545454545
Dorsey Basin,NV,14.0,46,32.608695652173914
Mcknight Cabin,NM,5.5,21,52.38095238095239
Stringer Creek,MT,12.9,23,95.65217391304348
Rocky Basin-Settleme,UT,14.000000000000002,43,16.27906976744186
Senorita Divide #2,NM,7.1000000000000005,44,27.27272727272727
Rawah,CO,7.6,22,13.636363636363635
Middle Fork Camp,CO,6.199999999999999,23,4.3478260869565215
Clear Creek #2,UT,9.700000000000001,46,28.26086956521739
Crater Meadows,ID,47.9,40,85.0
Twelvemile Creek,MT,37.900000000000006,45,95.55555555555556
Lookout Mountain,NM,4.9,44,40.909090909090914
Moscow Mountain,ID,29.2,24,66.66666666666666
Wood Creek,MT,19.4,46,100.0
Summit Ranch,CO,7.9,44,18.181818181818183
Teuchet Creek,AK,5.800000000000001,41,95.1219512195122
Burnt Mtn,MT,8.5,24,62.5
Baldy,AZ,7.8999999999999995,44,27.27272727272727
Indian Pass,AK,12.500000000000002,44,11.363636363636363
Bigelow Camp,OR,32.1,44,20.454545454545457
Mores Creek Summit,ID,25.1,41,34.146341463414636
Park Cone,CO,5.199999999999999,44,4.545454545454546
Mount Gardner,WA,74.8,31,83.87096774193549
Snowbird,UT,27.5,35,48.57142857142857
