Name,State,Value,Number_of_Observations_POR,Percentile_POR
Monitor Pass,CA,15.299999999999999,34,55.88235294117647
Bear River,CO,5.799999999999999,20,5.0
Gros Ventre Summit,WY,13.6,42,90.47619047619048
Mountain Meadows,ID,20.0,44,38.63636363636363
Sand Lake,WY,17.3,42,38.095238095238095
Cascade #2,CO,11.0,34,29.411764705882355
Grizzly Peak,CO,9.200000000000001,44,18.181818181818183
Elbow Lake,WA,97.39999999999999,29,68.96551724137932
Parrish Creek,UT,21.900000000000002,25,52.0
Cold Springs,WY,10.7,41,92.6829268292683
Dollarhide Summit,ID,22.6,43,72.09302325581395
Hobbs Park,WY,12.100000000000001,46,86.95652173913044
Lamoille #3,NV,14.4,44,40.909090909090914
Bone Springs Div,WY,8.6,46,36.95652173913043
Secesh Summit,ID,32.3,43,81.3953488372093
Bowman Springs,OR,12.6,46,32.608695652173914
Farmington Lower,UT,22.099999999999998,20,65.0
Sherwin,ID,25.799999999999997,41,65.85365853658537
Banner Summit,ID,26.2,44,75.0
Blue Mountain Spring,OR,16.9,46,32.608695652173914
Badger Pass,MT,33.7,43,93.02325581395348
Shell Creek,WY,11.4,46,86.95652173913044
Corral Canyon,NV,9.3,46,8.695652173913043
Sheldon,NV,4.0,35,60.0
Arbuckle Mtn,OR,14.6,46,10.869565217391305
Bug Lake,UT,17.5,46,73.91304347826086
Pole Creek R.S.,NV,10.0,44,65.9090909090909
Younts Peak,WY,20.0,41,90.2439024390244
Mcneil Canyon,AK,7.1,25,12.0
Three Creeks Meadow,OR,23.599999999999998,44,34.090909090909086
Roach,CO,10.1,44,11.363636363636363
Pickle Keg,UT,8.3,46,0.0
Burro Mountain,CO,9.299999999999999,45,2.2222222222222223
Tolby,NM,0.5,26,0.0
Wolf Creek Summit,CO,19.8,38,34.21052631578947
East Willow Creek,UT,8.2,38,55.26315789473685
Upper Rio Grande,CO,7.299999999999999,38,55.26315789473685
Blue Lakes,CA,27.6,44,47.72727272727273
Sasse Ridge,WA,48.5,40,80.0
Camp Jackson,UT,13.200000000000001,39,66.66666666666666
Granite Peak,NV,13.8,44,27.27272727272727
Beaver Divide,UT,11.1,46,34.78260869565217
Chepeta,UT,9.899999999999999,44,45.45454545454545
New Crescent Lake,OR,19.9,44,22.727272727272727
Red Hill,OR,82.60000000000001,46,76.08695652173914
Little Snake River,WY,22.0,20,30.0
Willow Park,CO,16.5,44,50.0
Lone Mountain,MT,14.0,33,69.6969696969697
Smiley Mountain,ID,20.3,23,95.65217391304348
Base Camp,WY,21.2,44,81.81818181818183
Buckskin Joe,CO,5.800000000000001,25,12.0
Corral Pass,WA,41.099999999999994,41,75.60975609756098
Rubicon #2,CA,27.8,44,54.54545454545454
Clayton Springs,UT,8.799999999999999,24,37.5
Paradise,WA,87.3,42,80.95238095238095
Hogg Pass,OR,37.0,45,20.0
Lewis Peak,NV,12.3,24,45.83333333333333
Cole Creek,MT,6.8,46,52.17391304347826
Snowslide Canyon,AZ,17.299999999999997,27,55.55555555555556
Red Mountain Pass,CO,12.8,44,9.090909090909092
Meadows Pass,WA,79.7,31,93.54838709677419
Beaver Dams,UT,8.100000000000001,44,6.8181818181818175
Loomis Park,WY,14.5,44,72.72727272727273
Pickfoot Creek,MT,15.8,46,97.82608695652173
Quemazon,NM,3.6,44,11.363636363636363
Bear Saddle,ID,15.200000000000001,43,18.6046511627907
Fremont Pass,CO,6.8999999999999995,44,0.0
Dills Camp,UT,8.4,44,4.545454545454546
Morse Lake,WA,56.300000000000004,41,51.21951219512195
Cooper Lake,AK,14.100000000000001,41,26.82926829268293
Big Flat,UT,9.0,46,13.043478260869565
Butte,CO,8.200000000000001,44,9.090909090909092
Idarado,CO,9.5,44,9.090909090909092
Molas Lake,CO,10.0,38,15.789473684210526
Kimberly Mine,UT,9.3,44,11.363636363636363
Spratt Creek,CA,20.0,44,52.27272727272727
Burgess Junction,WY,7.8,44,63.63636363636363
Salt Creek Falls,OR,32.4,44,15.909090909090908
Upper San Juan,CO,22.400000000000002,46,39.130434782608695
Horse Meadow,CA,19.400000000000002,21,66.66666666666666
Clackamas Lake,OR,35.4,44,50.0
Spud Mountain,CO,16.700000000000003,38,28.947368421052634
Lily Lake,UT,8.899999999999999,44,22.727272727272727
Lost Lake,ID,56.0,43,81.3953488372093
Bateman,NM,5.7,45,15.555555555555555
Burnt Mountain,WA,49.5,25,92.0
Snider Basin,WY,12.299999999999999,44,72.72727272727273
Elk Butte,ID,31.3,42,38.095238095238095
Apishapa,CO,2.2,44,0.0
Cloud Peak Reservoir,WY,10.600000000000001,45,82.22222222222221
Dungeness,WA,29.0,26,57.692307692307686
Lynx Pass,CO,5.4,44,0.0
Berry Creek,NV,11.0,44,52.27272727272727
County Line,OR,10.5,44,43.18181818181818
Spruce Springs,WA,24.6,24,79.16666666666666
Chamita,NM,6.4,45,15.555555555555555
Grandview,AK,25.599999999999998,41,41.46341463414634
Hyndman,ID,15.7,43,81.3953488372093
Lake Irene,CO,14.1,46,23.91304347826087
Reno Hill,WY,8.9,42,35.714285714285715
Beaver Ck Village,CO,7.9,21,19.047619047619047
Fish Creek,OR,20.0,45,35.55555555555556
Phillips Bench,WY,25.0,43,69.76744186046511
Stevens Pass,WA,72.2,42,85.71428571428571
Black Pine,MT,15.0,46,95.65217391304348
Spring Creek Divide,WY,21.4,43,81.3953488372093
Wildhorse Divide,ID,17.099999999999998,40,60.0
Bostetter R.S.,ID,13.399999999999999,43,46.51162790697674
Tipton,OR,10.0,44,15.909090909090908
Heber,AZ,11.1,44,34.090909090909086
Elk Cabin,NM,3.1000000000000005,28,10.714285714285714
Madison Plateau,MT,21.5,36,69.44444444444444
Rock Springs,OR,8.2,44,31.818181818181817
Webber Springs,WY,17.1,43,30.23255813953488
Reynolds Creek,ID,10.9,21,66.66666666666666
Salmon Meadows,WA,13.2,41,80.48780487804879
Michigan Creek,CO,7.9,26,15.384615384615385
Stampede Pass,WA,63.1,42,69.04761904761905
Ripple Creek,CO,12.900000000000002,38,7.894736842105263
Warm Springs,MT,25.7,44,100.0
High Ridge,OR,30.5,46,56.52173913043478
Ute Creek,CO,5.8,24,0.0
Tie Creek,WY,5.4,30,36.666666666666664
Overland Res.,CO,9.6,35,28.57142857142857
Leavitt Meadows,CA,22.5,44,61.36363636363637
Columbine Pass,CO,13.100000000000001,38,21.052631578947366
Grouse Camp,WA,25.099999999999998,42,78.57142857142857
Beaver Pass,WA,53.5,22,54.54545454545454
Mud Flat,ID,4.8,44,4.545454545454546
North Fork,OR,109.0,45,71.11111111111111
Sacajawea,MT,18.4,25,84.0
Basin Creek,MT,6.3,44,65.9090909090909
Deer Park,WY,13.900000000000002,27,55.55555555555556
MF Nooksack,WA,78.1,22,86.36363636363636
Summer Rim,OR,10.1,46,19.565217391304348
White Mill,MT,24.0,46,91.30434782608695
Bear Trap Meadow,WY,7.3,44,93.18181818181817
Jackwhacker Gulch,CO,11.0,26,30.76923076923077
Crosho,CO,8.6,38,10.526315789473683
Mammoth-Cottonwood,UT,8.8,45,13.333333333333334
Dome Lake,WY,9.200000000000001,46,78.26086956521739
Crazyman Flat,OR,18.599999999999998,23,43.47826086956522
Soldier R.S.,ID,14.399999999999999,38,63.1578947368421
Whiskey Creek,MT,17.4,45,66.66666666666666
White Pass E.S.,WA,45.8,44,97.72727272727273
Promontory,AZ,16.5,41,43.90243902439025
Laprele Creek,WY,8.200000000000001,42,47.61904761904761
Ward Mountain,NV,12.6,44,63.63636363636363
Steel Creek Park,UT,9.700000000000001,46,21.73913043478261
Mckenzie,OR,49.2,43,30.23255813953488
Tahoe City Cross,CA,28.2,44,61.36363636363637
Hole-in-Mountain,NV,19.7,41,63.41463414634146
Zirkel,CO,22.0,21,38.095238095238095
South Brush Creek,WY,7.1,44,11.363636363636363
Calvert Creek,MT,13.8,45,95.55555555555556
Sonora Pass,CA,22.700000000000003,46,43.47826086956522
Camas Creek Divide,ID,15.5,32,65.625
Louis Meadow,UT,20.099999999999998,25,68.0
Lookout Peak,UT,20.6,36,27.77777777777778
Upper Tsaina River,AK,16.700000000000003,21,42.857142857142854
Lobdell Lake,CA,15.4,46,50.0
Grave Creek,MT,34.8,45,95.55555555555556
Short Creek,MT,6.5,36,86.11111111111111
Silvies,OR,10.9,45,37.77777777777778
Palisades Tahoe,CA,40.6,44,47.72727272727273
Scotch Creek,CO,6.1000000000000005,38,7.894736842105263
Coldfoot,AK,3.3,29,24.137931034482758
East Rim Divide,WY,10.3,39,84.61538461538461
Chemult Alternate,OR,10.200000000000001,44,11.363636363636363
Summit Meadow,CA,16.099999999999998,21,47.61904761904761
Crow Creek,WY,5.6,21,23.809523809523807
Ben Lomond Trail,UT,20.9,44,52.27272727272727
Touchet,WA,39.800000000000004,43,72.09302325581395
Hand Creek,MT,17.3,46,93.47826086956522
Mesa Lakes,CO,11.8,38,21.052631578947366
Vacas Locas,NM,8.1,22,31.818181818181817
Tinkham Creek,WA,80.9,31,83.87096774193549
South Mtn.,ID,15.3,44,27.27272727272727
Slumgullion,CO,6.300000000000001,44,15.909090909090908
Elkhart Park G.S.,WY,11.299999999999999,44,75.0
Mineral Creek,CO,8.399999999999999,45,13.333333333333334
Lost Horse,WA,27.4,34,70.58823529411765
Seventysix Creek,NV,9.299999999999999,46,28.26086956521739
Sharkstooth,CO,9.7,20,5.0
Kiln,CO,6.7,44,4.545454545454546
Swift Creek,WA,142.60000000000002,22,90.9090909090909
Morgan Creek,ID,12.8,43,76.74418604651163
Dry Fork,UT,12.5,30,36.666666666666664
Grave Springs,WY,6.0,32,53.125
Daisy Peak,MT,9.1,28,85.71428571428571
Trout Creek,UT,6.699999999999999,46,26.08695652173913
Trough,WA,21.9,46,89.13043478260869
Stillwater Creek,CO,5.0,39,10.256410256410255
Daniels-Strawberry,UT,10.899999999999999,46,21.73913043478261
Hoosier Pass,CO,7.000000000000001,44,6.8181818181818175
